Date,UsageType,Cost
2024-05-27,USE1-DataProcessing-Bytes,"$1,088.55"
2024-05-27,USE1-VendedLog-Bytes,$4.14
2024-05-27,CW:MetricMonitorUsage,$2.51
2024-05-27,CW:Requests,$0.39
2024-05-27,CW:AlarmMonitorUsage,$0.30
2024-05-27,DashboardsUsageHour,$0.29
2024-05-27,DashboardsUsageHour-Basic,$0.10
2024-05-27,USW2-CW:AlarmMonitorUsage,$0.05
2024-05-27,EU-CW:AlarmMonitorUsage,$0.02
2024-05-27,EUC1-CW:AlarmMonitorUsage,$0.02
2024-05-27,USW2-CW:Requests,$0.01
2024-05-27,USW2-CW:MetricMonitorUsage,$0.00
2024-05-27,EU-CW:Requests,$0.00
2024-05-27,EUC1-CW:Requests,$0.00
2024-05-27,CW:GMD-Metrics,$0.00
2024-05-27,USW2-CW:GMD-Metrics,$0.00
2024-05-27,EU-CW:GMD-Metrics,$0.00
2024-05-27,EUC1-CW:GMD-Metrics,$0.00
2024-05-27,USW2-VendedLog-Bytes,$0.00
2024-05-27,EUC1-DataProcessing-Bytes,$0.00
2024-05-27,EU-DataProcessing-Bytes,$0.00
2024-05-27,USW2-DataProcessing-Bytes,$0.00
2024-05-27,USW2-TimedStorage-ByteHrs,$0.00
2024-05-27,EUC1-TimedStorage-ByteHrs,$0.00
2024-05-27,EU-TimedStorage-ByteHrs,$0.00
2024-05-28,USE1-DataProcessing-Bytes,"$1,084.15"
2024-05-28,USE1-VendedLog-Bytes,$4.46
2024-05-28,CW:MetricMonitorUsage,$2.53
2024-05-28,USE1-DataScanned-Bytes,$0.59
2024-05-28,CW:Requests,$0.38
2024-05-28,CW:AlarmMonitorUsage,$0.30
2024-05-28,DashboardsUsageHour,$0.29
2024-05-28,DashboardsUsageHour-Basic,$0.10
2024-05-28,USW2-CW:AlarmMonitorUsage,$0.05
2024-05-28,EU-CW:AlarmMonitorUsage,$0.02
2024-05-28,EUC1-CW:AlarmMonitorUsage,$0.02
